CÓDIGO DEPARTAMENTO,DEPARTAMENTO,PROVINCIA,CÓDIGO MUNICIPIO,MUNICIPIO,CODIGO DANE INSTITUCION EDUCATIVA,NOMBRE INSTITUCION EDUCATIVA,CODIGO DANE SEDE,NOMBRE SEDE EDUCATIVA,ZONA,PROYECTOS DE CONECTIVIDAD 2024,OPERADOR,ESTADO,MEDIO DE ENLACE,ANCHO DE BANDA DE SUBIDA (MB),ANCHO DE BANDA DESCARGA (MB),FINALIZACIÓN DEL CONTRATO,LATITUD,LONGITUD
15,BOYACÁ,NEIRA,"15,172",CHINAVITA,"215,172,000,050",I.E. JUAN DE JESUS ACEVEDO,"215,172,000,050",I.E. JUAN DE JESUS ACEVEDO - SEDE PRINCIPAL,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.75,15,12/01/2032 12:00:00 AM,5.166111,-73.356389
15,BOYACÁ,NEIRA,"15,172",CHINAVITA,"215,172,000,050",I.E. JUAN DE JESUS ACEVEDO,"215,172,000,131",NSTRA SRA DEL CARMEN,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.216111,-73.347778
15,BOYACÁ,OCCIDENTE,"15,176",CHIQUINQUIRÁ,"215,176,000,101",I.E. NORMAL SUPERIOR SOR JOSEFA DEL CASTILLO Y GUEVARA,"215,176,000,275",COL.DE ED. BAS. SAN FRANCISCO DE ASIS,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.604722,-73.83
15,BOYACÁ,OCCIDENTE,"15,176",CHIQUINQUIRÁ,"215,176,000,101",I.E. NORMAL SUPERIOR SOR JOSEFA DEL CASTILLO Y GUEVARA,"215,176,000,224",COLEGIO DE EDUCACION BASICA VARELA DE CHIQUINQUIRA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.675627096,-73.87396975
15,BOYACÁ,OCCIDENTE,"15,176",CHIQUINQUIRÁ,"115,176,000,033",I.E. TECNICA PIO ALBERTO FERRO PEÑA,"215,176,000,364",ESC CASABLANCA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.75,15,12/01/2032 12:00:00 AM,5.636147377,-73.80325842
15,BOYACÁ,OCCIDENTE,"15,176",CHIQUINQUIRÁ,"215,176,001,131",I.E. TECNICA LOS COMUNEROS,"215,176,001,131",I.E. TECNICA LOS COMUNEROS - SEDE PRINCIPAL,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,4.5,18,12/01/2032 12:00:00 AM,5.6162315716,-73.739617615
15,BOYACÁ,OCCIDENTE,"15,176",CHIQUINQUIRÁ,"215,176,001,131",I.E. TECNICA LOS COMUNEROS,"215,176,000,267",SEDE MOYAVITA LA CAPILLA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.604722,-73.7225
15,BOYACÁ,OCCIDENTE,"15,176",CHIQUINQUIRÁ,"215,176,001,131",I.E. TECNICA LOS COMUNEROS,"215,176,000,941",SEDE SASA ALTO,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.629758524,-73.72359406
15,BOYACÁ,CENTRO,"15,232",CHÍQUIZA,"215,232,000,135",I.E. TECNICA SAN PEDRO DE IGUAQUE,"115,232,000,033",COL DE EDUC BAS VALDEMAR FRANKLIN QUINTERO,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.6065,-73.48361111
15,BOYACÁ,CENTRO,"15,232",CHÍQUIZA,"215,232,000,135",I.E. TECNICA SAN PEDRO DE IGUAQUE,"215,232,000,119",ESC EL MONTE,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.615291,-73.455246
