NOMBRE INSTITUCION EDUCATIVA,CODIGO DANE INSTITUCION EDUCATIVA
I.E. EL CHARCO,"415,676,000,157"
I.E. HATOVIEJO,"215,676,000,077"
I.E. TECNICO JACINTO VEGA,"315,690,000,416"
I.E. CASILDA ZAFRA,"115,693,000,043"
I.E. CARLOS ARTURO TORRES PEÑA,"115,693,000,035"
I.E. TECNICA EL PORTACHUELO,"215,693,000,200"
I.E. TECNICO AGROPECUARIO,"115,696,000,010"
I.E. TECNICA ANTONIO RICAURTE,"115,686,000,011"
I.E. LUIS MANUEL PARRA CARO,"215,720,000,128"
I.E. TECNICA SEÑOR DE LOS MILAGROS,"115,723,000,167"
I.E. TECNICA IGNACIO GIL SANABRIA,"115,740,000,014"
I.E. SANTO DOMINGO SAVIO GAIATO,"215,740,000,086"
I.E. JURUVITA,"215,740,000,060"
I.E. JUAN JOSE RONDON,"115,753,000,013"
I.E. ESCUELA NORMAL SUPERIOR LA PRESENTACION,"315,753,000,021"
I.E. ESCUELA NORMAL SUPERIOR,"115,757,000,395"
I.E. LOS LIBERTADORES,"215,757,000,187"
I.E. MATILDE ANARAY,"215,757,000,136"
I.E. TECNICA JAIRO ALBARRACIN BARRERA,"215,755,000,171"
I.E. TECNICO FRANCISCO JOSE DE CALDAS,"115,755,000,371"
INSTITUCION EDUCATIVA RAFAEL GUTIERREZ GIRARDOT,"215,759,000,630"
INSTITUCION EDUCATIVA COLEGIO DE SUGAMUXI,"115,759,001,615"
INSTITUCION EDUCATIVA LOS LIBERTADORES,"115,759,000,473"
INSTIUCION EDUCATIVA NUESTRA SEÑORA DE MORCA,"215,759,001,768"
I.E. TECNICA JOSE BENIGNO PERILLA,"215,761,000,167"
I.E. NORMAL SUPERIOR VALLE DE TENZA,"215,761,000,051"
I.E. DE SORA,"315,762,000,076"
I.E. SIMON BOLIVAR,"115,764,000,082"
I.E. TECNICA PABLO VI,"115,763,000,291"
I.E. ADOLFO MARIA JIMENEZ,"215,763,000,075"
I.E. NUESTRA SEÑORA DEL CARMEN,"115,774,000,021"
I.E. PEDREGAL ALTO,"215,776,000,091"
I.E. TECNICA SAN BARTOLOME,"315,778,000,181"
I.E. LOS NARANJOS,"215,778,000,047"
I.E. JORGE GUILLERMO MOJICA MARQUEZ,"115,790,000,031"
I.E. TECNICA JOSE GABRIEL CARVAJAL GARCIA,"115,798,000,014"
I.E. SUPANECA,"215,804,000,204"
I.E. GUSTAVO ROMERO HERNANDEZ,"115,804,000,021"
I.E. ANDRES ROMERO AREVALO,"215,804,000,395"
I.E. TECNICO INDUSTRIAL,"215,806,000,236"
I.E. JORGE CLEMENTE PALACIOS,"315,806,000,214"
I.E. ROBERTO FRANCO IZASA,"215,806,000,139"
I.E. MARIANO OSPINA PEREZ,"115,808,000,026"
I.E. LUCAS CABALLERO CALDERON,"115,810,000,220"
I.E. TECNICA PLINIO MENDOZA NEIRA,"115,814,000,011"
I.E. TECNICA RAFAEL URIBE,"215,814,000,253"
I.E. HAYDEE CAMACHO SAAVEDRA,"315,816,000,191"
I.E. TECNICA CARLOS JULIO UMAÑA TORRES,"115,820,000,023"
I.E. VADO CASTRO,"215,820,000,087"
INSTITUCION EDUCATIVA RURAL DEL SUR,"215,001,001,007"
GUSTAVO ROJAS PINILLA.,"115,001,002,807"
I.E. LUIS GUILLERMO ROJAS BARRERA,"115,832,000,151"
I.E. TECNICA INDUSTRIAL,"115,835,000,283"
I.E. DIEGO DE TORRES,"115,835,000,011"
I.E. TEGUANEQUE,"215,835,000,083"
I.E. EL CRUCE,"215,837,000,340"
I.E. TECNICA CHICAMOCHA,"115,837,000,256"
I.E. SAN NICOLAS,"215,837,000,102"
I.E. TECNICA PIO MORANTES,"115,839,000,105"
I.E. TECNICA AGROPECUARIA,"215,842,000,013"
I.E. DIVINO NIÑO,"215,842,000,196"
I.E. TECNICA SAN IGNACIO,"115,842,000,272"
I.E. PUENTE DE PIEDRA,"215,861,000,156"
I.E. PANAMERICANO PUENTE BOYACA,"415,001,002,061"
I.E. SAN ANTONIO DE PADUA,"215,861,000,121"
I.E. FRANCISCO DE PAULA SANTANDER,"115,861,000,011"
I.E. LUIS CARLOS GALAN SARMIENTO,"215,407,000,087"
I.E. TECNICA Y ACADEMICA ANTONIO NARIÑO,"115,407,000,023"
I.E. TECNICA INDUSTRIAL ANTONIO RICAURTE,"115,407,000,015"
I.E. LIBARDO CUERVO PATARROYO,"115,897,000,018"
I.E. SAN JOSE DE LA FLORIDA,"115,897,000,221"
I.E. ECOLOGICO DE BUSBANZA,"115,114,000,011"
I.E. TECNICO AGROPECUARIO SANTA RITA DE CASIA,"215,092,000,105"
I.E. LICEO NACIONAL JOSE JOAQUIN CASAS,"115,176,000,041"
I.E. TECNICO INDUSTRIAL JULIO FLOREZ,"115,176,000,084"
I.E. TECNICO COMERCIAL SAGRADO CORAZON DE JESUS,"315,176,000,016"
I.E. SAN MIGUEL,"215,212,000,112"
I.E. TECNICA PIJAOS,"215,224,000,011"
I.E. TECNICA AGROINDUSTRIAL EL ESPINO,"115,248,000,017"
I.E. TECNICA VALLE DE TENZA,"115,322,000,024"
I.E. SOCHAQUIRA ABAJO,"215,325,000,089"
I.E. TECNICA NUESTRA SEÑORA DE LAS MERCEDES,"115,403,000,011"
I.E. SERGIO CAMARGO,"115,455,000,027"
I.E. SAN ALBERTO MAGNO,"215,469,000,342"
I.E. TECNICA LA LAJA,"215,469,000,156"
I.E. TECNICO NACIONALIZADO DE PAUNA,"115,531,000,015"
I.E. TECNICO SIMONA AMAYA,"115,533,000,179"
I.E. ANTONIA SANTOS,"115,572,000,062"
I.E. JOHN F. KENNEDY,"115,572,000,348"
I.E. JOSE ANTONIO GALAN,"115,572,000,321"
I.E. NAGUATA,"215,599,000,123"
I.E. NUEVA ESPERANZA,"215,667,000,048"
I.E. SAN LUIS DE GACENO,"115,667,000,027"
I.E. TECNICA ALFONSO VANEGAS SIERRA,"115,676,000,013"
I.E. TECNICA PABLO VALETTE,"315,681,000,331"
I.E. TECNICA NUESTRA SEÑORA DEL ROSARIO,"115,720,000,212"
I.E. TECNICA PEDRO JOSE SARMIENTO,"115,757,000,026"
I.E. HECTOR JULIO GOMEZ,"315,776,000,133"
I.E. CAMILO TORRES DE TOCA,"215,814,000,091"
I.E. RIO DE PIEDRAS,"215,837,000,358"
I.E. AGROINDUSTRIAL LA PRADERA,"215,238,000,315"
INSTITUCION EDUCATIVA EL CRUCERO,"215,759,000,583"
