NOMBRE SEDE EDUCATIVA,CODIGO DANE SEDE,ZONA,NOMBRE INSTITUCION EDUCATIVA,CODIGO INTERNET
ESC DE LLANO DE ALARCON,"215,226,000,034",RURAL,I.E. SANTO DOMINGO SAVIO,1859
ESC MACIAS,"215,226,000,051",RURAL,I.E. SANTO DOMINGO SAVIO,600
ESC AGUA BLANCA,"215,244,000,220",RURAL,I.E. EL CARDON,178
ESC CARRIZAL CENTRO,"215,244,000,271",RURAL,I.E. JOSE SANTOS GUTIERREZ,87
ESC EL JUNCAL,"215,244,000,181",RURAL,I.E. EL CARDON,295
ESC EL MORTIÑO,"215,244,000,262",RURAL,I.E. EL CARDON,1669
ESC EL RANAL,"215,244,000,092",RURAL,I.E. JOSE SANTOS GUTIERREZ,1271
I.E. CASCAJAL - SEDE PRINCIPAL,"215,248,000,208",RURAL,I.E. CASCAJAL,877
ESC SAN JOAQUIN,"215,248,000,151",RURAL,I.E. CASCAJAL,1188
ESC CARTAGENA,"215,272,000,171",RURAL,I.E. TECNICA DE FIRAVITOBA,1731
ESC LAS MONJAS,"215,272,000,120",RURAL,I.E. TECNICA DE FIRAVITOBA,425
ESC SAN ANTONIO,"215,272,000,138",RURAL,I.E. TECNICA AGROPECUARIA SAN ANTONIO,799
I.E. TECNICA AGROPECUARIA SAN ANTONIO - SEDE PRINCIPAL,"215,272,000,197",RURAL,I.E. TECNICA AGROPECUARIA SAN ANTONIO,1233
ESC CELY,"215,276,000,060",RURAL,I.E. HECTOR JULIO RANGEL QUINTERO,1215
ESC TOBASIA,"215,276,000,043",RURAL,I.E. HECTOR JULIO RANGEL QUINTERO,1851
CE HATILLO Y SOCHA,"215,293,000,065",RURAL,I.E. JUAN JOSE NEIRA,1644
CE IGUAS DE PARDOS,"215,293,000,057",RURAL,I.E. JUAN JOSE NEIRA,140
CE LA CAJA,"215,293,000,138",RURAL,I.E. JUAN JOSE NEIRA,1135
CE SAAVEDRAS DE RONCANCIOS,"215,293,000,073",RURAL,I.E. GUITOQUE,666
CE TRES LLANOS,"215,293,000,049",RURAL,I.E. JUAN JOSE NEIRA,686
I.E. GUITOQUE - SEDE PRINCIPAL,"215,293,000,111",RURAL,I.E. GUITOQUE,550
GUANTO,"215,296,000,121",RURAL,I.E. JUAN JOSE REYES PATRIA,1069
ESC SIMON BOLIVAR,"215,296,000,040",RURAL,I.E. SAZA,7
ESC CIENEGA BALVANERA,"215,299,000,202",RURAL,I.E. TECNICA SAN LUIS,286
ESC FUMBAQUE,"215,299,000,121",RURAL,I.E. TECNICO INDUSTRIAL MARCO AURELIO BERNAL,1655
ESC HIPAQUIRA,"215,299,000,113",RURAL,I.E. TECNICO INDUSTRIAL MARCO AURELIO BERNAL,1865
ESC EL CHIVECHE,"215,317,000,100",RURAL,I.E. TECNICA SAN DIEGO DE ALCALA,274
ESC RESUMIDERO,"215,317,000,037",RURAL,I.E. TECNICA SAN DIEGO DE ALCALA,397
ESC CHORRO DE ORO,"215,322,000,126",RURAL,I.E. TECNICA ENRIQUE OLAYA HERRERA,862
ESC GAUNZA ARRIBA,"215,322,000,142",RURAL,I.E. TECNICA ENRIQUE OLAYA HERRERA,1088
ESC UBAJUCA,"215,322,000,096",RURAL,I.E. TECNICA ENRIQUE OLAYA HERRERA,926
ROSALES,"215,322,000,100",RURAL,I.E. TECNICA ENRIQUE OLAYA HERRERA,1920
